2025-11-25 16:53:49.101 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 16:54:22.467 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 16:55:00.990 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 16:58:34.806 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 17:03:49.866 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 17:04:22.241 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 18:56:19.323 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 18:58:49.023 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 18:59:44.499 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 19:08:18.650 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 19:46:57.782 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 19:49:55.124 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 20:53:12.999 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-25 21:06:54.511 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-26 04:49:02.554 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-26 04:50:15.607 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-26 04:51:37.518 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-26 04:52:47.989 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-26 04:53:22.149 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-26 04:58:11.698 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-26 04:59:52.406 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-26 08:01:17.224 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-26 09:27:11.050 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-26 09:27:56.700 [info] Resolved Python Environment /dolfinx-env/bin/python
2025-11-26 09:29:32.917 [info] Resolved Python Environment /dolfinx-env/bin/python
